code	name	placeName	Longitude	Latitude	num_accessible_stations_30m	num_accessible_stations_45m	num_accessible_stations_60m
9100HALSWTH	Halesworth Rail Station	Halesworth	1.50568	52.34683	5	10	14
9100DOWNHAM	Downham Market Rail Station	Downham Market	0.36569	52.60413	5	11	31
9100WRUNTON	West Runton Rail Station	West Runton	1.24547	52.93555	5	8	9
9100DURSLEY	Cam & Dursley Rail Station	Cam	-2.3591	51.71762	5	18	36
9100EGRNSTD	East Grinstead Rail Station	East Grinstead	-0.0179	51.12627	5	25	149
9100BUGLE	Bugle Rail Station	Bugle	-4.79215	50.40034	5	9	12
9100SETNCRW	Seaton Carew Rail Station	Seaton Carew	-1.20042	54.65832	5	17	38
9100ACHILCK	Auchinleck Rail Station	Auchinleck	-4.29535	55.47027	5	7	18
9100TMPCMB	Templecombe Rail Station	Templecombe	-2.41773	51.00149	5	9	18
9100ABRE	Abererch Rail Station	Abererch	-4.3742	52.8986	5	9	14
9300SGW	St George Wharf Pier	Vauxhall	-0.12689	51.48628	5	7	11
9100KENDAL	Kendal Rail Station	Kendal	-2.73964	54.33211	5	7	16
9100PEGSWD	Pegswood Rail Station	Pegswood	-1.64417	55.17812	5	14	31
9100ABDARE	Aberdare Rail Station	Aberdare	-3.4431	51.71506	5	12	27
9100NARBRO	Narborough Rail Station	Narborough	-1.20335	52.57131	5	25	82
9100ANCASTR	Ancaster Rail Station	Ancaster	-0.53562	52.98771	5	11	22
9100FALMTHD	Falmouth Docks Rail Station	Falmouth	-5.05608	50.15069	5	5	9
9100BRNSTPL	Barnstaple Rail Station	Barnstaple	-4.06315	51.07396	5	9	11
9100IVRNESS	Inverness Rail Station	Inverness	-4.22337	57.47986	5	9	13
9100GBGHLRD	Gainsborough Lea Road Rail Station	Gainsborough	-0.76858	53.38611	5	15	43
9100BRAMPTN	Brampton (Suffolk) Rail Station	Brampton	1.54382	52.39545	5	9	13
9100ASKAM	Askam Rail Station	Askam-in-Furness	-3.20452	54.18894	5	11	19
9100BARELA	Bare Lane Rail Station	Bare	-2.83533	54.07455	5	19	50
9300WMP	London Eye Millennium Pier	Waterloo	-0.11943	51.50361	5	11	14
9100SDPLACE	Sandplace Rail Station	Sandplace	-4.46452	50.38674	5	7	13
9100NBERWCK	North Berwick Rail Station	North Berwick	-2.73074	56.05703	5	12	28
9100HLYH	Holyhead Rail Station	Holyhead	-4.63101	53.3077	5	8	12
9100WODBDGE	Woodbridge Rail Station	Woodbridge	1.31779	52.09046	5	14	31
